zip_code,label,department_name,department_number,region_name
58150,tracy sur loire,nièvre,58,bourgogne-franche-comté
58260,trois vevres,nièvre,58,bourgogne-franche-comté
58640,varennes vauzelles,nièvre,58,bourgogne-franche-comté
58140,vauclaix,nièvre,58,bourgogne-franche-comté
58370,villapourcon,nièvre,58,bourgogne-franche-comté
58210,villiers le sec,nièvre,58,bourgogne-franche-comté
39500,abergement la ronce,jura,39,bourgogne-franche-comté
39110,aiglepierre,jura,39,bourgogne-franche-comté
39110,andelot en montagne,jura,39,bourgogne-franche-comté
39120,annoire,jura,39,bourgogne-franche-comté
39600,arbois,jura,39,bourgogne-franche-comté
39300,ardon,jura,39,bourgogne-franche-comté
39240,arinthod,jura,39,bourgogne-franche-comté
39600,les arsures,jura,39,bourgogne-franche-comté
39270,la chailleuse,jura,39,bourgogne-franche-comté
39190,augea,jura,39,bourgogne-franche-comté
39270,augisey,jura,39,bourgogne-franche-comté
39100,authume,jura,39,bourgogne-franche-comté
39130,baresia sur l ain,jura,39,bourgogne-franche-comté
39800,bersaillin,jura,39,bourgogne-franche-comté
39250,bief du fourg,jura,39,bourgogne-franche-comté
39140,bletterans,jura,39,bourgogne-franche-comté
39130,boissia,jura,39,bourgogne-franche-comté
39800,brainans,jura,39,bourgogne-franche-comté
39110,cernans,jura,39,bourgogne-franche-comté
39570,cesancey,jura,39,bourgogne-franche-comté
39380,chamblay,jura,39,bourgogne-franche-comté
39290,champagney,jura,39,bourgogne-franche-comté
39300,champagnole,jura,39,bourgogne-franche-comté
39500,champdivers,jura,39,bourgogne-franche-comté
39230,champrougier,jura,39,bourgogne-franche-comté
39230,la chassagne,jura,39,bourgogne-franche-comté
39130,chatel de joux,jura,39,bourgogne-franche-comté
39150,la chaumusse,jura,39,bourgogne-franche-comté
39150,chaux des crotenay,jura,39,bourgogne-franche-comté
39150,nanchez,jura,39,bourgogne-franche-comté
39240,st hymetiere sur valouse,jura,39,bourgogne-franche-comté
39240,st hymetiere sur valouse,jura,39,bourgogne-franche-comté
39240,st hymetiere sur valouse,jura,39,bourgogne-franche-comté
39190,chevreaux,jura,39,bourgogne-franche-comté
39130,chevrotaine,jura,39,bourgogne-franche-comté
39370,choux,jura,39,bourgogne-franche-comté
39570,courbette,jura,39,bourgogne-franche-comté
39300,crans,jura,39,bourgogne-franche-comté
39270,cressia,jura,39,bourgogne-franche-comté
39230,darbonnay,jura,39,bourgogne-franche-comté
39140,desnes,jura,39,bourgogne-franche-comté
39230,domblans,jura,39,bourgogne-franche-comté
39270,ecrille,jura,39,bourgogne-franche-comté
39160,val d epy,jura,39,bourgogne-franche-comté
39320,val d epy,jura,39,bourgogne-franche-comté
39570,l etoile,jura,39,bourgogne-franche-comté
39700,falletans,jura,39,bourgogne-franche-comté
39800,fay en montagne,jura,39,bourgogne-franche-comté
39600,la ferte,jura,39,bourgogne-franche-comté
39130,fontenu,jura,39,bourgogne-franche-comté
39250,fraroz,jura,39,bourgogne-franche-comté
39210,frontenay,jura,39,bourgogne-franche-comté
39320,gigny,jura,39,bourgogne-franche-comté
39150,grande riviere chateau,jura,39,bourgogne-franche-comté
39120,les hays,jura,39,bourgogne-franche-comté
39110,ivory,jura,39,bourgogne-franche-comté
39360,larrivoire,jura,39,bourgogne-franche-comté
